1)
#Table 5: Differential cross sections at 1800 GeV and $|t|=0.05$ GeV$^{2}$ extracted from the CDF measurements~[10] in
%#ksi    dcs/dksi/dt  delta
-0.0022    375.4    48.0
-0.0011    3419.4  182.8
 0.0000    8368.6  278.9
 0.0011    5646.9  210.4
 0.0022    1311.9   88.4
 0.0033    568.7    66.5
 0.0044    403.4    57.7
 0.0055    319.6    52.9
 0.0072    222.7    35.8
 0.0100    196.7    33.8
 0.0139    153.6    29.3
 0.0189    106.7    22.1
 0.0250    84.6     18.8
 0.0322    90.2     18.7
 0.0422    73.9     13.7
 0.0555    55.0      9.4
 0.0717    69.9     10.0
 0.0918    57.6      7.2
 0.116     55.4      6.5

