1) Poghosyan, "Predictions for pp single diffractive cross section at LHC "
#[tmp1](b)1208.1055
#P:\s [TeV]
%mass (GeV)        ∆σ/∆M (mb/GeV)           
## 0.9
 1.08 2     1.54   2.3843
 2    3     2.5    1.1321
 3    4     3.5    0.6762
 4    5     4.5    0.4628
 5    6     5.5    0.3435
 6    7     6.5    0.2689
 7    8     7.5    0.2186
 8    9     8.5    0.1829
 9   10     9.5    0.1564
10   20    15.0    0.0897
20   30    25.0    0.0454
30   40    35.0    0.0307
40   50    45.0    0.0236
50   60    55.0    0.0194
60   70    65.0    0.0167
70   80    75.0    0.0149
80   90    85.0    0.0135
90   100   95.0    0.0124
100  200  150.0    0.0099

## 2.76
 1.08 2     1.54   2.7240
 2    3     2.5    1.2968
 3    4     3.5    0.7734
 4    5     4.5    0.5277
 5    6     5.5    0.3900
 6    7     6.5    0.3039
 7    8     7.5    0.2459
 8    9     8.5    0.2047
 9   10     9.5    0.1741
10   20    15.0    0.0974
20   30    25.0    0.0468
30   40    35.0    0.0302
40   50    45.0    0.0222
50   60    55.0    0.0176
60   70    65.0    0.0146
70   80    75.0    0.0125
80   90    85.0    0.0110
90   100   95.0    0.0098
100  200  150.0    0.0067

## 7
 1.08 2     1.54   3.0111  
 2    3     2.5    1.4426      
 3    4     3.5    0.8627    
 4    5     4.5    0.5891    
 5    6     5.5    0.4354    
 6    7     6.5    0.3391    
 7    8     7.5    0.2741    
 8    9     8.5    0.2279    
 9   10     9.5    0.1936   
10   20    15.0    0.1075   
20   30    25.0    0.0508   
30   40    35.0    0.0322   
40   50    45.0    0.0233   
50   60    55.0    0.0181   
60   70    65.0    0.0148   
70   80    75.0    0.0125    
80   90    85.0    0.0108     
90   100   95.0    0.0096  
100  200  150.0    0.0061    
