1)#sigma_{DD} Kaidalov, Poghosyan 
#Source: [tmp1](a)Kaidalov, Poghosyan, 0909.5156v1,"Description of soft diffraction in the framework of reggeon calculus. Predictions for LHC"
#%Figure 7: Double-diffractive cross-section as a function of √s.
#%The theoretical curve.
% √s                       cs(DD)
 1.07404533672767e+001    1.82496389539495e-001
 1.58468895279133e+001    8.97069315551647e-001
 2.18438994301993e+001    1.73628566036091e+000
 3.01103848472080e+001    2.57550200517017e+000
 4.30382324420255e+001    3.34520509903305e+000
 6.16562378713531e+001    4.11011409418068e+000
 9.41159985025460e+001    4.71441645414283e+000
 1.50667341606927e+002    5.13173479911202e+000
 2.45332346716756e+002    5.44836644723735e+000
 4.05859566776689e+002    5.62115703405757e+000
 6.75233550193790e+002    5.71003908911250e+000
 1.12339062568139e+003    5.77254927300914e+000
 1.86899314857306e+003    5.83745689973834e+000
 3.10946593643610e+003    5.92394151196070e+000
 5.18502667825194e+003    6.05358088211923e+000
 8.59715983858947e+003    6.19520549906591e+000
 1.41582438448303e+004    6.42073825430294e+000
