from  'Z:\home\bjaguar\Pictures\goul.bmp'  0  0
1905.9  9.649e-4  0  0
2446.5  7.223e-4  0  0
3012.4  5.753e-4  0  0
3557.9  4.397e-4  0  0
4380.9  3.502e-4  0  0
5741.6  2.676e-4  2.63e-05  4.17e-05
7683.2  2.515e-4  2.47e-05  4.53e-05
10718.2  1.733e-4  0  0
14342.5  1.245e-4  0  0
18031.2  9.915e-5  1.684e-05  1.545e-05
23145.0  6.833e-5  1.042e-05  1.064e-05
32287.6  6.035e-5  1.228e-05  9.4e-06
45041.7  4.708e-5  8.79e-06  7.34e-06
61539.9  3.245e-5  6.07e-06  5.05e-06
80654.1  2.638e-5  6.22e-06  3.49e-06
