1)#sigma_{DD}(s) 
# DD(s)
#X:#sqrt{s} [GeV]      
#Y:#sigma [mb]
%sqrt(s)   cs     ds    dcs
19.25     2.2488  0.0   1.4
22.55     0.4854  0.0   0
23.6      1.5251  0.0   0.8
26.43     0.9754  0.0   0.36
29.64     1.1480  0.0   0.35
36.4      1.9555  0.0   0.6
45.26     2.9362  0.0   0.9
51.65     2.6175  0.0   0.75
51.67     4.9864  0.0   0.75
63.8      4.2049  0.0   1.2
200       5.0347  0.0   3.2
630       4.5356  0.0   1.5
900       4.7583  0.0   3.0 
900       5.8620  0.0   1.4
1800      6.3     0.0   1.7
2775.5    7.7609  0.0   3.3
7000      8.7367  0.0   3.0
