1)d#sigma/dt^{ppbar}_{el} #ARNISON PLB128(83)336 
#elastic cross section. 
#X:t [GeV^2]      
#Y:#dsigma_{pp}/dt [mb/GeV^{2}]
#P:#sqrt{s} [GeV^{2}]      
## 540
%|t|         dσel/dt     stat        syst
0.45000E-01 0.12140E+03 0.10800E+02 0.97120E+01 
0.55000E-01 0.11190E+03 0.10300E+02 0.89520E+01 
0.65000E-01 0.84100E+02 0.90000E+01 0.67280E+01 
0.75000E-01 0.61200E+02 0.76000E+01 0.48960E+01 
0.85000E-01 0.49700E+02 0.69000E+01 0.39760E+01 
0.95000E-01 0.45900E+02 0.66000E+01 0.36720E+01 
0.10500E+00 0.41100E+02 0.63000E+01 0.32880E+01 
0.11500E+00 0.25800E+02 0.50000E+01 0.20640E+01 
0.12500E+00 0.29600E+02 0.53000E+01 0.23680E+01 
0.13500E+00 0.30600E+02 0.54000E+01 0.24480E+01 
0.14500E+00 0.22000E+02 0.46000E+01 0.17600E+01 
0.15500E+00 0.21000E+02 0.45000E+01 0.16800E+01 
0.16500E+00 0.18200E+02 0.42000E+01 0.14560E+01 
0.17500E+00 0.12400E+02 0.34000E+01 0.99200E+00 
0.21500E+00 0.76300E+01 0.25000E+00 0.61040E+00 
0.22500E+00 0.63000E+01 0.23000E+00 0.50400E+00 
0.23500E+00 0.57500E+01 0.22000E+00 0.46000E+00 
0.24500E+00 0.51200E+01 0.20000E+00 0.40960E+00 
0.25500E+00 0.43700E+01 0.19000E+00 0.34960E+00 
0.26500E+00 0.41000E+01 0.18000E+00 0.32800E+00 
0.27500E+00 0.34600E+01 0.17000E+00 0.27680E+00 
0.28500E+00 0.29400E+01 0.15000E+00 0.23520E+00 
0.29500E+00 0.26500E+01 0.15000E+00 0.21200E+00 
0.30500E+00 0.21000E+01 0.13000E+00 0.16800E+00 
0.31500E+00 0.19000E+01 0.12000E+00 0.15200E+00 
0.32500E+00 0.15300E+01 0.11000E+00 0.12240E+00 
0.33500E+00 0.15000E+01 0.11000E+00 0.12000E+00 
0.34500E+00 0.13100E+01 0.10000E+00 0.10480E+00 
0.35500E+00 0.11400E+01 0.10000E+00 0.91200E-01 
0.36500E+00 0.10400E+01 0.90000E-01 0.83200E-01 
0.37500E+00 0.85000E+00 0.80000E-01 0.68000E-01 
0.38500E+00 0.67000E+00 0.70000E-01 0.53600E-01 
0.39500E+00 0.68000E+00 0.70000E-01 0.54400E-01 
0.40500E+00 0.51000E+00 0.60000E-01 0.40800E-01 
0.41500E+00 0.55000E+00 0.70000E-01 0.44000E-01 
0.42500E+00 0.39000E+00 0.60000E-01 0.31200E-01 

2)d#sigma/dt^{ppbar}_{el} #BERNARD PLB198(87)583
#elastic cross section. 
#X:t [GeV^2]      
#Y:#dsigma_{pp}/dt [mb/GeV^{2}]
#P:#sqrt{s} [GeV^{2}]      
## 546
%|t|         dσel/dt     stat        syst
0.22500E-02 0.26500E+03 0.80000E+01 0.66250E+01 
0.27500E-02 0.24600E+03 0.70000E+01 0.61500E+01 
0.32500E-02 0.24800E+03 0.60000E+01 0.62000E+01 
0.37500E-02 0.21500E+03 0.60000E+01 0.53750E+01 
0.42500E-02 0.21800E+03 0.50000E+01 0.54500E+01 
0.47500E-02 0.21600E+03 0.50000E+01 0.54000E+01 
0.52500E-02 0.20800E+03 0.50000E+01 0.52000E+01 
0.57500E-02 0.20900E+03 0.50000E+01 0.52250E+01 
0.62500E-02 0.19800E+03 0.50000E+01 0.49500E+01 
0.67500E-02 0.19900E+03 0.50000E+01 0.49750E+01 
0.72500E-02 0.18900E+03 0.40000E+01 0.47250E+01 
0.77500E-02 0.18800E+03 0.40000E+01 0.47000E+01 
0.82500E-02 0.18800E+03 0.40000E+01 0.47000E+01 
0.87500E-02 0.18800E+03 0.40000E+01 0.47000E+01 
0.92500E-02 0.18800E+03 0.40000E+01 0.47000E+01 
